date,open,close,high,low,volume,turnover,amplitude,pct_change,change,turnover_rate
2026-03-03,610.0,633.0,637.5,596.0,1605556,982011000.0,6.71,3.44,21.0,0.73
2026-03-04,629.0,640.0,655.0,612.0,1635754,1024254000.0,6.79,1.11,7.0,0.74
2026-03-05,640.0,630.0,654.0,615.0,1126690,713523000.0,6.09,-1.56,-10.0,0.51
2026-03-06,627.0,625.0,637.0,613.0,618236,389614000.0,3.81,-0.79,-5.0,0.28
2026-03-07,636.0,662.5,665.5,632.0,812068,528629000.0,5.36,6.00,37.5,0.37
2026-03-10,678.0,738.0,744.0,674.5,2299174,1637668000.0,10.49,11.40,75.5,1.04
2026-03-11,725.0,668.0,735.0,655.5,1685558,1155024000.0,10.77,-9.49,-70.0,0.76
2026-03-12,658.0,634.0,660.0,610.0,1259662,791085000.0,7.49,-5.09,-34.0,0.57
2026-03-13,632.0,625.0,652.0,625.0,554756,356753000.0,4.26,-1.42,-9.0,0.25
2026-03-14,615.0,610.0,635.0,600.0,628476,387131000.0,5.60,-2.40,-15.0,0.28
2026-03-17,602.0,620.0,634.0,589.0,850620,518461000.0,7.38,1.64,10.0,0.38
2026-03-18,619.0,622.0,632.5,605.0,650476,399710000.0,4.44,0.32,2.0,0.29
2026-03-19,630.0,659.0,660.0,616.0,852804,541553000.0,7.07,5.95,37.0,0.39
2026-03-20,683.0,630.5,690.0,615.0,1980638,1278107000.0,11.38,-4.32,-28.5,0.89
2026-03-23,600.0,590.0,633.5,571.0,1783482,1065006000.0,9.91,-6.42,-40.5,0.81
2026-03-24,618.0,655.0,655.0,595.0,1821358,1144328000.0,10.17,11.02,65.0,0.82
2026-03-25,685.0,760.0,760.0,663.0,3312577,2345635000.0,14.81,16.03,105.0,1.50
2026-03-26,780.0,684.0,790.0,683.0,1879730,1359011000.0,14.08,-10.00,-76.0,0.85
2026-03-27,684.0,668.0,696.0,641.5,1687128,1123012000.0,7.97,-2.34,-16.0,0.76
2026-03-30,650.5,733.5,750.0,642.5,1862526,1318398000.0,16.09,9.81,65.5,0.84
2026-03-31,720.0,693.5,755.0,672.0,1510602,1059921000.0,11.32,-5.45,-40.0,0.68
2026-04-01,797.5,915.0,938.0,797.5,5671600,4981477000.0,20.26,31.94,221.5,2.56
2026-04-02,891.5,779.0,900.0,764.0,3129684,2484313000.0,14.86,-14.86,-136.0,1.41
